unique_id;name;strasse_nr;art;lieferung;fon;name_street;fon_place_id;name_place_id
1103;Restaurant la Mardini;Pankower Allee 91;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493091528835;Restaurant la Mardini Pankower Allee 91;['ChIJ_WBiNz9TqEcRjh5rNexmpIk'];['ChIJ_WBiNz9TqEcRjh5rNexmpIk']
207;Ristorante Capitano;Eichhorster Weg 9;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+49304166148;Ristorante Capitano Eichhorster Weg 9;['ChIJHbB_QXRTqEcRqV7wEJrSEGQ'];['ChIJHbB_QXRTqEcRqV7wEJrSEGQ']
373;Restaurant Aanjal;Oranienburger Straße 92;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493041706572;Restaurant Aanjal Oranienburger Straße 92;['ChIJn4aMRHhTqEcRfOH7TpNBA60'];['ChIJn4aMRHhTqEcRfOH7TpNBA60']
642;Trattoria Isola Verde;Gorkistraße 206;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+49304145471;Trattoria Isola Verde Gorkistraße 206;['ChIJlVc0wn5UqEcR_u89wPOstnI'];['ChIJlVc0wn5UqEcR_u89wPOstnI']
1105;Taverna Orakel;Dannenwalder Weg 70;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493041720959;Taverna Orakel Dannenwalder Weg 70;['ChIJ5T1IahEgZUERxcQ-kI68SmQ'];['ChIJ5T1IahEgZUERxcQ-kI68SmQ']
536;Foodwerkstatt;Ludolfingerplatz 6;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+491751108811;Foodwerkstatt Ludolfingerplatz 6;['ChIJ7w3MumlUqEcRH-fgydhIx1M'];['ChIJ7w3MumlUqEcRH-fgydhIx1M']
629;Ristorante Landhaus am Poloplatz;Am Poloplatz 9;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+49304019035;Ristorante Landhaus am Poloplatz Am Poloplatz 9;['ChIJNUDUFSurqUcRTEg41TJgjDI'];['ChIJNUDUFSurqUcRTEg41TJgjDI']
1114;Kaffeehaus Zeltinger;Zeltinger Platz 1a;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+49304011017;Kaffeehaus Zeltinger Zeltinger Platz 1a;['ChIJrz7MbNBUqEcRpNdFDLTYrkg'];['ChIJrz7MbNBUqEcRpNdFDLTYrkg']
151;LANDHAUS HUBERTUS;Invalidensiedlung 46;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+49304011746;LANDHAUS HUBERTUS Invalidensiedlung 46;['ChIJ2YqdNtiqqUcRqvIBSeihUFA'];['ChIJ2YqdNtiqqUcRqvIBSeihUFA']
542;Der Gaideck;Heinsestraße 53;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+49304048017;Der Gaideck Heinsestraße 53;['ChIJC71rg5VUqEcRW8eeCMhDGXk'];['ChIJC71rg5VUqEcRW8eeCMhDGXk']
1161;China Restaurant Schatzkammer;Heinsestraße 42;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4917645955689;China Restaurant Schatzkammer Heinsestraße 42;[];['ChIJzZ5w4eHfZEERsgIvfKxkXeY']
203;Ristorante Da Mastrangelo;Hermsdorfer Damm 179;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493062202219;Ristorante Da Mastrangelo Hermsdorfer Damm 179;['ChIJnfyqfpVUqEcRRu0ILnKgSD8'];['ChIJnfyqfpVUqEcRRu0ILnKgSD8']
255;Ristorante Donna Francesca;Alt-Tegel 15;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493089407904;Ristorante Donna Francesca Alt-Tegel 15;['ChIJpzdYJENUqEcRpMv2rKeNads'];['ChIJpzdYJENUqEcRpMv2rKeNads']
1044;FISHERMANS Restaurant;Eisenhammerweg 20;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493043746470;FISHERMANS Restaurant Eisenhammerweg 20;['ChIJXevE4kNUqEcRL-iTOyd9_Uc', 'ChIJWclS40NUqEcRXqsFNwblgfY'];['ChIJXevE4kNUqEcRL-iTOyd9_Uc']
1221;China Restaurant Lucky Chinese;Alt-Tegel 29;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+49304335033;China Restaurant Lucky Chinese Alt-Tegel 29;['ChIJX1Q3b0NUqEcRaXTC7FdgojE'];['ChIJX1Q3b0NUqEcRaXTC7FdgojE']
344;Schmeckt;Waidmannsluster Damm 50;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493040727900;Schmeckt Waidmannsluster Damm 50;['ChIJEYi5HGJUqEcRZe5BNZM0HIc'];['ChIJEYi5HGJUqEcRZe5BNZM0HIc']
76;Atma indische Küche;Räuschstraße 57A;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+4915143544451;Atma indische Küche Räuschstraße 57A;['ChIJo4CRmHFUqEcRzEfKa4knkBg'];['ChIJo4CRmHFUqEcRzEfKa4knkBg']
301;Beyzade Restaurant;Klosterstraße 10;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493023944217;Beyzade Restaurant Klosterstraße 10;['ChIJy7B-NEhWqEcRXawaU_aWTi0'];['ChIJy7B-NEhWqEcRXawaU_aWTi0']
51;Leckerschmecker Catering;Staakener Straße 53-63;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493036436471;Leckerschmecker Catering Staakener Straße 53-63;['ChIJqeJIpYL4qEcRyWxRkUzSk4Y', 'ChIJqeJIpYL4qEcRZzu8NKA2TY8', 'ChIJqeJIpYL4qEcR7eaVbTSg7xs'];['ChIJqeJIpYL4qEcR7eaVbTSg7xs']
218;Dolci&Salati;Seegefelderstraße 83;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4915234594877;Dolci&Salati Seegefelderstraße 83;[];['ChIJpbchYv9XqEcRtpMIOk2__RE']
59;The Pizza Club;Seegefelderstraße 75;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493023900386;The Pizza Club Seegefelderstraße 75;[];['ChIJ-Y6SY8UjZUERpr8RRF6Pqt0']
532;Il Vagabondo;Falkenhagener Straße 38;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+49303753843;Il Vagabondo Falkenhagener Straße 38;['ChIJX7D4zhVWqEcRdsZhHcYzrhw', 'ChIJ03QbzhVWqEcRvkh4cn-rj-g'];['ChIJ03QbzhVWqEcRvkh4cn-rj-g']
72;Brauhaus in Spandau;Neuendorfer Straße 1;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+49303539070;Brauhaus in Spandau Neuendorfer Straße 1;['ChIJLeHqc0FWqEcRpbsmTg4T_cI'];['ChIJLeHqc0FWqEcRpbsmTg4T_cI']
34;Partyservice Dilg;Niederneuendorfer Allee 1;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+49303356058;Partyservice Dilg Niederneuendorfer Allee 1;['ChIJH_fMIOBVqEcRJSEznmV6IJ8'];['ChIJH_fMIOBVqEcRJSEznmV6IJ8']
1002;Ekmek;Goltzstraße 48;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+491631000417;Ekmek Goltzstraße 48;[];['ChIJdYl8-NZXqEcRFPs0D9Ot_4g']
332;Grillhaus BAHA;Falkenseer Chaussee 196A;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493062201271;Grillhaus BAHA Falkenseer Chaussee 196A;[];['ChIJwfuZPOD5qEcRDhfE_fYA2Eo']
