;name;city;bezirk;street_nr;lat;lng;types;business_status;price_level;rating;user_ratings_total
ChIJZ-5wGMNJqEcRYjtACxE7xYQ;Deep indische Spezialitäten;Berlin;Bezirk Lichtenberg;Sewanstraße 260;52.49362670000001;13.5173571;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;3.8;36
ChIJQ60PRJBOqEcRRcWC3MTdLnI;Epirus;Berlin;Bezirk Lichtenberg;Ruschestraße 64;52.521781;13.4865209;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.2;631
ChIJu7wRuI1OqEcR2MnrEs40frE;Aastha Restaurant;Berlin;Bezirk Lichtenberg;Parkaue 35;52.5169674;13.4791856;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.2;302
ChIJBUQ0Lh1OqEcROpHg79CDsc0;Meta Mate Bar;Berlin;Bezirk Pankow;Straßburger Straße 16;52.53065770000001;13.4150104;['cafe', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.6;111
ChIJedQX7QNOqEcRO900Oc6mT6Y;Restaurant Masel Topf;Berlin;Bezirk Pankow;Rykestraße 2;52.5348518;13.4195406;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.2;569
ChIJVVWhbwNOqEcRaZUd2XJT4a4;Unsre Kneipe;Berlin;Bezirk Pankow;Belforter Straße 22;52.53230019999999;13.4189638;['bar', 'point_of_interest', 'establishment'];OPERATIONAL;1;4.9;316
ChIJ9xTpUwdOqEcRiuEMtzgNJaw;Cubandres;Berlin;Bezirk Pankow;Prenzlauer Allee 190;52.54060519999999;13.424678;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.3;6
ChIJQQSryPVPqEcRuesT8qWZSRE;Cubandres - Andres Nunez Wilson;Berlin;Bezirk Pankow;Prenzlauer Allee 190;52.54057630000001;13.4245056;['point_of_interest', 'establishment'];OPERATIONAL;;;0
ChIJO2d2m_9RqEcRS26zuZqKzVI;Daniel Grothues;Berlin;Bezirk Pankow;Danziger Straße 3;52.5410565;13.4133558;['point_of_interest', 'establishment'];OPERATIONAL;;;0
ChIJUfCtNAVOqEcRGKIuvRsWmRI;The Hidden by DANIEL'S EATERY;Berlin;Bezirk Pankow;Heinrich-Roller-Straße 8;52.5299474;13.424377;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.7;35
ChIJbWg1bwFOqEcRNbDIVGvgYDI;MaoThai Restaurant;Berlin;Bezirk Pankow;Wörther Straße 30;52.5363889;13.4197222;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.4;406
ChIJbWg1bwFOqEcRXaNpbSM665w;Chindavone Tandsack;Berlin;Bezirk Pankow;Wörther Straße 30;52.5364065;13.4198311;['point_of_interest', 'establishment'];OPERATIONAL;;;0
