,name,strasse_nr,bezirk,lat,lng,types,delivery,franchise,food_type,price_lvl,nr_ratings,rating,angebot
348,AMERICAN LIFESTYLE - US-Shop Berlin,Attilastraße 177,Tempelhof-Schöneberg,52.4557638,13.3766445,"['grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'store', 'establishment']",False,False,[],Unknown,198,4.3,"Typisch amerikanische Geschenkartikel,  Dekorationsartikel,  Original US-Food..."
1262,Villa Christina,Mariendorfer Damm 131,Tempelhof-Schöneberg,52.4399831,13.3879091,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",True,False,"['griechisch', 'salat']",Moderate,1239,4.2,"GRIECHISCHE MEDITERRANE KÜCHE. Mit einer langjährigen Erfahrung zaubert Ihnen unser Kochchef, traditionelle griechische Köstlichkeiten. Von frischen Salaten bis zu Grillgerichten für mehrere Personen, Sie finden auf unserer Speisekarte das richtige für Sie."
1189,Call to Eat,Friedenstraße 7,Tempelhof-Schöneberg,52.4381426,13.3831243,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",True,False,"['pizza', 'pasta', 'burger']",Unknown,97,4.1,"Pizza, Pasta, Burger"
948,DogTap Berlin,Im Marienpark 22,Tempelhof-Schöneberg,52.43805769999999,13.3682444,"['food', 'point_of_interest', 'establishment']",True,False,[],Unknown,482,4.1,Brauerei Restaurant mit soul food kitchen und frischen Bieren
523,Bäckerei Forddamm,Forddamm 13,Tempelhof-Schöneberg,52.4378495,13.3832247,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",True,False,[],Inexpensive,65,4.6,"Wir sind mit hauseigenen Backwaren, belegten Brötchen und vielen weiteren Köstlichkeiten für Sie da neu mit Lieferservice."
1165,frohSINN schank speisen barkultur,Cranachstraße 39-40,Tempelhof-Schöneberg,52.46464239999999,13.3427688,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,"['saisonal', 'regional', 'international']",Moderate,109,4.5,"Regelmäßig und saisonal wechselnden Angebote, mit dem Fokus auf hausgemachte & frisch zubereitete regionale, aber auch internationale Speisen."
124,YUZU Izakaya & Sushi,Cranachstraße 58,Tempelhof-Schöneberg,52.4682,13.34246,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",False,False,"['sushi', 'japanisch']",Unknown,11,5.0,"Sushi, Izakaya, japanisches Fusionfood"
1000,Mare e Monti,Bismarkstraße 3,Steglitz-Zehlendorf,52.4629742,13.3388131,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",False,False,"['pizza', 'pasta', 'salat']",Moderate,274,4.3,"Pizza,Pasta,Salate,Antipasti"
628,La Mezcla,Hedwig Straße 1,Tempelhof-Schöneberg,52.47135549999999,13.3360202,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,[],Unknown,98,4.7,"Empanadas, Quesadillas, Quiche Mediterran,  etc"
375,Fame Burger,rheinstraße 61,Tempelhof-Schöneberg,52.4702631,13.33442,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",True,False,"['burger', 'pizza', 'vegan']",Unknown,17,3.8,burger Pizza vegan
1109,Lula am Markt,Lauterstraße 14,Tempelhof-Schöneberg,52.4721157,13.3350745,"['cafe', 'food', 'point_of_interest', 'establishment']",False,False,"['kuchen', 'pizza', 'salat']",Moderate,720,4.3,"Hausgebackenes Brot, Kuchen, Zimtrollen, Pizza, Lasagne, Salate, Curry"
960,Friedenauer Grill Bistro,Hauptstraße 68a,Berlin,52.4759459,13.340354,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",False,False,['döner'],Unknown,5,4.8,Dönerladen
273,Schmidt Z&KO.,Rheinstraße 45-46,Tempelhof-Schöneberg,52.4665062,13.3303847,"['restaurant', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']",True,False,[],Expensive,138,4.5,"Frisch zubereitete, leckeres aus der Schmidt Z&KO. Küche: Lammhüfte € 26,- 10 Stunden mit Kräuter sous vide gegart, Polenta, Ratatouille, Rosmarinjus"
484,Café Cocosh,Muthesiusstraße 8,Steglitz-Zehlendorf,52.4590815,13.3207616,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",False,False,"['kuchen', 'salat']",Moderate,275,4.5,"Kuchen, Eis, Waffeln, Salate"
1108,Como en casa,Stubenrauchstraße 59,Tempelhof-Schöneberg,52.4713797,13.3235512,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",False,False,[],Unknown,80,4.8,"Peruanisches Essen ( Empanadas, seco de carne, ceviche (Vorbestellung)carapulcra,etc..) und Paella"
1112,CARLOS CARAVELA,Dickhardtstraße 27,Tempelhof-Schöneberg,52.4672937,13.3314659,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",False,False,[],Moderate,238,4.7,Portugisischer küche
969,Pasta Focaccia,Feuerbachstraße 34,Steglitz-Zehlendorf,52.4634774,13.3321013,"['restaurant', 'food', 'point_of_interest', 'establishment']",True,False,"['pizza', 'pasta', 'salat']",Inexpensive,124,4.4,"Pizza,Pasta,Salat"
1145,Restaurant Dalmacija,Holsteinische Straße 55,Steglitz-Zehlendorf,52.46302599999999,13.3279214,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,True,['deutsch'],Inexpensive,343,4.5,"Kroatische und deutsche Gerichte, derzeit Wochenkarte"
