id;name;strasse_nr;bezirk;lat;lng;types;delivery;price_lvl;nr_ratings;rating
23;Havel Menü;Neues Ufer 13;Mitte;52.52714839999999;13.3158539;['meal_delivery', 'food', 'point_of_interest', 'establishment'];True;Unknown;28;5.0
715;Walhalla;Krefelder Straße 6;Mitte;52.5242599;13.3393541;['bar', 'point_of_interest', 'store', 'establishment'];False;Moderate;839;4.3
1248;YA-MAN Caribbean Soul Food;Gotzkowskystraße 17;Mitte;52.5244198;13.3296159;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;230;4.6
995;Lal Haweli;Alt-Moabit 51;Mitte;52.524073;13.3299948;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Inexpensive;405;4.1
89;Asiagourmet;Europaplatz 1;Mitte;52.524369;13.3698517;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Inexpensive;551;3.5
914;Kapitel 21;Lehrter Straße 55;Berlin;52.53421660000001;13.3586315;['bar', 'point_of_interest', 'establishment'];True;Moderate;228;4.7
884;Clara Vere;Spielhagenstraße 3;Charlottenburg-Wilmersdorf;52.51305169999999;13.3041392;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;89;4.4
281;Restaurant Galija am Schloss;Otto-Suhr-Allee 139;Charlottenburg-Wilmersdorf;52.5187795;13.3012733;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;599;4.4
1173;Trattoria Rathaus Piazza;Otto-Suhr-Allee 96;Charlottenburg-Wilmersdorf;52.51694669999999;13.3090419;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Inexpensive;443;4.5
846;Wilhelm Hoeck;Wilmersdorfer Straße 149;Charlottenburg-Wilmersdorf;52.51392300000001;13.305059;['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'establishment'];True;Moderate;840;4.5
70;Natural'Mente - Makrobiotik Gastronomie GmbH;Schustehrusstraße 26;Charlottenburg-Wilmersdorf;52.5172378;13.2999892;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Unknown;21;4.7
958;Thai Restaurant Kien-du-kiang-thong;Kaiser-Friedrich-Straße 89;Charlottenburg-Wilmersdorf;52.5145817;13.30134;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;108;4.5
109;Kantine im Atrium;Kaiserin Augusta Allee 31;Charlottenburg-Wilmersdorf;52.5259371;13.3142107;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Inexpensive;142;3.9
1042;Nguyen Imbiss Asiatische Spezialitäten;Tauroggener Straße 03;Charlottenburg-Wilmersdorf;52.523512;13.3011416;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Inexpensive;77;4.3
621;Philomenis greek delicious;Knesebeckstraße 97;Charlottenburg-Wilmersdorf;52.5096392;13.3232815;['food', 'point_of_interest', 'store', 'establishment'];False;Unknown;54;4.2
271;KLX - Koshary Lux;Grolmanstraße 27;Charlottenburg-Wilmersdorf;52.50460469999999;13.3230906;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Inexpensive;797;4.5
541;Trattoria Tatou;Kantstraße 16;Charlottenburg-Wilmersdorf;52.50580249999999;13.3263015;['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];True;Inexpensive;143;4.2
543;Dicke Wirtin;Carmerstraße 9;Charlottenburg-Wilmersdorf;52.506516;13.323556;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;2899;4.5
103;Good Friends;Kantstraße 30;Charlottenburg-Wilmersdorf;52.50631869999999;13.317906;['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment'];True;Unknown;51;3.9
194;Restaurant Kitchen Library;Bleibtreustraße 55;Charlottenburg-Wilmersdorf;52.5072743;13.3205244;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;102;4.7
729;Calcutta Restaurant;Bleibtreu Straße 17;Charlottenburg-Wilmersdorf;52.503346;13.3195216;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;252;4.2
31;Cafeteria Amalie;Fasanenstraße 1 B;Charlottenburg-Wilmersdorf;52.50907999999999;13.32845;['cafe', 'food', 'point_of_interest', 'establishment'];True;Unknown;4;5.0
1007;Kaffeehaus Mila, Grolmanstrasse 40, 10623 Berlin;Grolmanstraße 40, 10623 Berlin-Charlottenburg;Charlottenburg-Wilmersdorf;52.5038302;13.3243911;['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];False;Moderate;308;4.1
222;La Bocca di Culaccino;Knesebeckstraße 99;Charlottenburg-Wilmersdorf;52.510059;13.3233782;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Unknown;38;4.2
924;Ristorante Romero;Fasanenstraße 81a,;Charlottenburg-Wilmersdorf;52.5047699;13.32798;['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];True;Moderate;714;4.2
319;Ashoka;Grolmanstraße 51;Charlottenburg-Wilmersdorf;52.5071057;13.3218361;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Inexpensive;421;4.1
1274;Ajanta;Grolmanstraße 15;Charlottenburg-Wilmersdorf;52.5084453;13.3199594;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Inexpensive;234;4.2
320;SATYAM;Goethestraße 5;Charlottenburg-Wilmersdorf;52.5089378;13.3219914;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Inexpensive;683;4.0
